Date,Open,High,Low,Close,Volume
2024-01-18,2009.6900,2012.1400,2006.5400,2008.3600,0
2024-01-17,2028.2200,2033.0200,2001.8900,2009.6300,0
2024-01-16,2054.0800,2054.5900,2024.3100,2028.2100,0
2024-01-15,2047.7900,2058.6800,2045.9100,2054.0600,0
2024-01-14,2047.9700,2048.7400,2046.4000,2047.6900,0
2024-01-12,2035.3600,2062.2800,2030.1400,2048.9900,0
2024-01-11,2026.8800,2042.2300,2013.3900,2035.4100,0
2024-01-10,2030.8700,2040.3100,2020.5000,2026.8200,0
2024-01-09,2030.7800,2042.0100,2026.1200,2030.8900,0
2024-01-08,2044.3700,2046.6700,2016.8600,2030.7700,0
2024-01-07,2044.6700,2045.6900,2043.0200,2044.3500,0
2024-01-05,2044.3500,2064.0200,2024.5900,2045.5300,0
2024-01-04,2043.0500,2051.0200,2036.2900,2044.3400,0
2024-01-03,2059.6600,2066.0300,2030.7000,2043.0700,0
2024-01-02,2063.8100,2078.9400,2056.0500,2059.6400,0
2024-01-01,2065.3200,2066.6100,2063.2600,2063.7800,0
2023-12-29,2066.8700,2074.8800,2058.2800,2062.9600,0
2023-12-28,2079.6200,2088.5500,2064.6500,2066.8900,0
2023-12-27,2066.2900,2084.5000,2061.5700,2079.5800,0
2023-12-26,2055.0400,2069.1300,2053.5300,2066.2800,0
2023-12-25,2058.4700,2058.5800,2054.1300,2055.0300,0
2023-12-22,2052.8900,2070.6500,2046.8900,2053.1500,0
2023-12-21,2032.2300,2055.0700,2032.0400,2052.8800,0
2023-12-20,2040.9200,2043.5100,2027.5100,2032.2400,0
2023-12-19,2027.7700,2047.0100,2021.7500,2041.0000,0
2023-12-18,2017.6300,2033.7200,2016.1700,2027.7200,0
2023-12-17,2019.7600,2020.1500,2016.0500,2017.5400,0
2023-12-15,2035.7000,2044.9600,2015.6900,2019.6000,0
2023-12-14,2032.9100,2047.9300,2027.7000,2035.6400,0
2023-12-13,1982.5900,2033.2100,1973.1600,2032.9300,0
2023-12-12,1983.0500,1996.7200,1977.2500,1982.6000,0
2023-12-11,2007.1300,2007.8800,1975.9400,1983.0400,0
2023-12-10,2005.7300,2007.6900,2004.6800,2007.1800,0
2023-12-08,2028.1800,2034.0900,1994.7400,2004.4900,0
2023-12-07,2027.1600,2040.0100,2020.2500,2028.1700,0
2023-12-06,2018.9800,2035.9600,2018.8500,2027.1700,0
2023-12-05,2034.0400,2041.2900,2009.8700,2019.0200,0
2023-12-04,2118.0000,2121.1000,2020.2500,2034.0600,0
2023-12-03,2074.3500,2145.7000,2071.8800,2118.0800,0
2023-12-01,2040.1800,2075.4000,2033.9800,2071.8300,0
2023-11-30,2044.7300,2047.2800,2031.7300,2040.1900,0
2023-11-29,2044.5500,2052.0600,2035.4700,2044.7200,0
2023-11-28,2015.3800,2044.7200,2011.6400,2044.5100,0
2023-11-27,2002.5200,2018.2000,2001.9000,2015.3600,0
2023-11-26,2001.3600,2003.2300,2000.6900,2002.5300,0
2023-11-24,1994.2000,2003.6500,1991.5700,2002.6100,0
2023-11-23,1990.5200,1998.6100,1989.8800,1994.1900,0
2023-11-22,1999.4100,2006.3900,1986.9600,1990.5800,0
2023-11-21,1981.3300,2007.6300,1980.8700,1999.4200,0
2023-11-20,1974.6400,1985.2300,1965.5400,1981.3400,0
2023-11-19,1977.7200,1978.8100,1974.3000,1974.6200,0
2023-11-17,1982.7100,1993.4700,1978.6700,1980.6600,0
2023-11-16,1960.4000,1988.0400,1956.5200,1982.6900,0
2023-11-15,1962.5500,1975.3300,1955.5100,1960.4200,0
2023-11-14,1946.5900,1970.9700,1943.8300,1962.5400,0
2023-11-13,1940.4300,1949.2800,1931.6800,1946.5600,0
2023-11-12,1941.0500,1942.3200,1935.2300,1940.4700,0
2023-11-10,1959.1700,1960.8600,1933.0600,1938.3800,0
2023-11-09,1950.8400,1965.6600,1944.8000,1959.1900,0
2023-11-08,1969.0300,1971.0900,1947.4800,1950.9100,0
2023-11-07,1976.8500,1977.1300,1956.7800,1969.0400,0
2023-11-06,1988.5500,1993.1700,1975.8900,1976.8400,0
2023-11-05,1991.5700,1991.7300,1987.2100,1988.5600,0
2023-11-03,1985.0800,2004.1100,1983.2900,1992.7100,0
2023-11-02,1985.1400,1991.0300,1978.9100,1985.0600,0
2023-11-01,1983.7600,1992.0600,1969.9500,1985.1600,0
2023-10-31,1995.6200,2007.9100,1978.9500,1983.7700,0
2023-10-30,2002.8100,2006.8600,1991.0700,1995.6300,0
2023-10-29,2002.8600,2004.8500,1997.0000,2002.8000,0
2023-10-27,1984.4800,2009.4100,1976.9200,2006.1100,0
2023-10-26,1983.0400,1993.5100,1971.8900,1984.4900,0
2023-10-25,1972.9600,1987.3400,1963.1600,1983.0500,0
2023-10-24,1973.6500,1980.9500,1953.6500,1972.9500,0
2023-10-23,1971.6500,1982.8500,1964.3900,1973.6600,0
2023-10-22,1972.8700,1978.6100,1970.1500,1971.6400,0
2023-10-20,1977.3000,1997.2500,1972.0800,1980.9000,0
2023-10-19,1950.9000,1982.5100,1945.2800,1977.2900,0
2023-10-18,1924.8400,1962.6600,1923.8600,1950.8900,0
2023-10-17,1919.4800,1931.6500,1912.4800,1924.7800,0
2023-10-16,1925.9900,1926.1000,1908.2400,1919.4700,0
2023-10-15,1927.8000,1927.8000,1921.3100,1926.0100,0
2023-10-13,1870.6700,1932.7300,1870.1400,1932.3000,0
2023-10-12,1875.4000,1885.1700,1868.0000,1870.6500,0
2023-10-11,1859.7600,1877.2700,1858.7000,1875.3800,0
2023-10-10,1862.6400,1865.4000,1853.0600,1859.7500,0
2023-10-09,1848.0700,1863.5300,1844.2500,1862.6300,0
2023-10-08,1853.4800,1854.6800,1845.6300,1848.0500,0
2023-10-06,1821.3700,1834.9400,1810.5200,1831.9900,0
2023-10-05,1822.6300,1829.2900,1813.6700,1821.3800,0
2023-10-04,1823.3800,1830.6600,1816.6300,1822.6000,0
2023-10-03,1825.0400,1833.4300,1815.2800,1823.4200,0
2023-10-02,1848.4900,1849.0100,1820.5100,1825.0500,0
2023-10-01,1847.6000,1848.9000,1845.8200,1848.4800,0
2023-09-29,1866.7800,1879.9000,1846.3600,1848.9200,0
2023-09-28,1877.6400,1879.5800,1857.7700,1866.7900,0
2023-09-27,1901.6500,1903.9900,1872.5900,1877.6300,0
2023-09-26,1916.2900,1916.5700,1899.1800,1901.6600,0
2023-09-25,1924.8200,1927.2600,1915.2600,1916.3300,0
2023-09-24,1926.2600,1926.4500,1924.5000,1924.8000,0
2023-09-22,1921.4600,1929.1800,1921.2900,1925.3500,0
